"conflict_id","source_repo","source_task_surface","prior_task_ids","prior_claim","observed_evidence","conflict","canonical_task_ids","disposition","execution_gate","evidence_uri"
"TASKCONFLICT-001","FlexNetOS/nu_plugin","execution/TASK_GRAPH.csv","CDB013-CDB063","Fifty-one implementation and runtime rows remain planned.","Current master contains the Rust workspace, redb store, scanner, CLI, Nu plugin, MCP, envctl export, tests, manifests, PgStore, and materialization; HANDOFF says CDB013-CDB047 completed; PRs 13, 14, 16, 18, and 19 merged with green CI.","Canonical task status contradicts current source and evidence; blindly importing rows would schedule duplicate implementation.","RECOVERY-002; ADOPT-001","Reconcile each row by direct evidence; adopt proven capabilities, preserve real pending gaps, and never bulk-mark Complete.","closed-until-reconciliation","/home/flexnetos/lifeos/src/nu_plugin/execution/TASK_GRAPH.csv; /home/flexnetos/lifeos/src/nu_plugin/HANDOFF.md"
"TASKCONFLICT-002","FlexNetOS/nu_plugin","execution/BIDIRECTIONAL_TASK_GRAPH.csv","CDB070-CDB090","All twenty-one bidirectional rows are complete.","Source and logs show substantial implementation, but Complete spans design, proof, safety gates, and release tasks and overlaps V1.1 rows still marked planned.","Completion vocabulary and overlapping task intent cannot be imported as one product-complete claim.","RECOVERY-002; ADOPT-001","Classify each row as product, proof, planning, or release completion and map once to LifeOS.","closed-until-reconciliation","/home/flexnetos/lifeos/src/nu_plugin/execution/BIDIRECTIONAL_TASK_GRAPH.csv"
"TASKCONFLICT-003","FlexNetOS/nu_plugin","execution/POLYGLOT_TASK_GRAPH.csv","CDB091-CDB105","All fifteen rows are complete.","HANDOFF explicitly says this lane is a planning package and does not claim polyglot implementation shipped.","Complete means planning-artifact completion, not product capability completion.","RECOVERY-002","Preserve the planning package, classify it as planning-only unless current source and tests independently prove implementation.","closed-until-reconciliation","/home/flexnetos/lifeos/src/nu_plugin/execution/POLYGLOT_TASK_GRAPH.csv; /home/flexnetos/lifeos/src/nu_plugin/HANDOFF.md"
"TASKCONFLICT-004","FlexNetOS/envctl","envctl-db-nu-plugin-migration-automation-package/execution-framework/generated/task_graph.csv and status_report.json","EF-001 through MAINT-503","Source graph reports 76 pending and 4 complete; proof-derived status reports all 80 complete.","Proofs primarily validate package models, scripts, documents, reports, and execution artifacts; later product PR 440 implemented the repo-native redb migration engine.","Two generated projections disagree, and package completion is not automatically product completion.","RECOVERY-003; ADOPT-002","Classify source, package, proof, merged product, and live runtime state separately; retain one canonical disposition per task.","closed-until-reconciliation","/home/flexnetos/lifeos/src/envctl/envctl-db-nu-plugin-migration-automation-package/execution-framework/generated/task_graph.csv; /home/flexnetos/lifeos/src/envctl/envctl-db-nu-plugin-migration-automation-package/execution-framework/generated/status_report.json"
"TASKCONFLICT-005","FlexNetOS/envctl and FlexNetOS/nu_plugin","envctl issue-414 generated task graph","REQ-050-REQ-061","All twelve rows remain pending and have no package proof records.","envctl PR 450 and nu_plugin PR 13 are merged with green CI and implement the code-graph DB and Nu visual surfaces.","Pending package rows conflict with merged product source, but exact task-to-commit coverage still requires proof mapping.","RECOVERY-002; RECOVERY-003; ADOPT-001; ADOPT-002","Map every REQ row to merged source and tests; retain only uncovered acceptance gaps as pending.","closed-until-reconciliation","/home/flexnetos/lifeos/src/envctl/envctl-db-nu-plugin-migration-automation-package/execution-framework/generated/issue-414/task_graph.csv"
"TASKCONFLICT-006","FlexNetOS/envctl","envctl .handoff loop state","TASK-0089; TASK-0091-TASK-0094","Loop DONE says R2-R10 complete while TASK-0089 remains blocked by operator freeze.","PRs 470-472 prove the PostgreSQL-RuVector component, pairing ADR, and semantic consumer; the loop marker itself records 8 of 9 terminal with TASK-0089 blocked.","A broad DONE marker cannot be imported as all intelligence and store work complete.","RECOVERY-003; ADOPT-002; STORE-001","Preserve proven rows, retain TASK-0089 as blocked, and do not use loop DONE as store-authority proof.","closed-until-reconciliation","/home/flexnetos/lifeos/src/envctl/.handoff/loop/DONE"
"TASKCONFLICT-007","LifeOS; FlexNetOS/nu_plugin; FlexNetOS/envctl","LifeOS POSTGRES and PGAUTH rows versus merged peer work","POSTGRES-004-POSTGRES-009; PGAUTH-001-PGAUTH-006; CDB013-CDB105; REQ-020-REQ-061","LifeOS rows currently describe future ingestion, storage, materialization, secret, and semantic capability.","Merged peers already implement significant slices of those capabilities.","Unqualified LifeOS implementation rows would duplicate valid work and could downgrade proven behavior.","RECOVERY-004; ADOPT-001; ADOPT-002","Treat peer source as upgrade input; split only missing integration, authority, scale, and whole-user-space proof.","closed-until-adoption-map","planning-spine-v0/generated/task_graph.source.csv"
"TASKCONFLICT-008","LifeOS; FlexNetOS/nu_plugin; FlexNetOS/envctl","PGAUTH-002 and DEPTH-013 versus current redb owners","PGAUTH-002; DEPTH-013; CDB015-CDB018; REQ-020-REQ-028","Earlier LifeOS rows classify redb as transient buffer and WAL only.","nu_plugin uses redb as authoritative source-blob storage and envctl uses redb as the durable replayable migration database; both have merged implementations and tests.","The redb role was decided before current valid use cases were reconciled.","PGAUTH-002; STORE-001","Reopen the classification, inventory all use cases, and require David-approved store relationship before schema decomposition.","closed-owner-decision-required","planning-spine-v0/generated/task_graph.source.csv; /home/flexnetos/lifeos/src/nu_plugin/crates/codedb_store_redb/src/lib.rs; /home/flexnetos/lifeos/src/envctl/crates/engine/src/migration_db/mod.rs"
"TASKCONFLICT-009","LifeOS; FlexNetOS/envctl","Whole-user-space and secret authority rows versus envctl secrets stack","POSTGRES-002; PGAUTH-005; INTEL-003; envctl TASK-0020-TASK-0036","LifeOS requires the complete user-space to be coherent in the PostgreSQL-first model.","envctl already owns secret values through secrets-engine, secretd, secretctl, and a remote libSQL Store, while catalog and CodeDB surfaces intentionally redact or reference secret material.","Storing raw secret values in PostgreSQL would duplicate authority and violate existing security boundaries unless explicitly decided.","ADOPT-002; PGAUTH-005; STORE-001","Adopt the secrets stack and decide whether PostgreSQL owns references, encrypted envelopes, metadata, or no secret values; never infer raw-value capture.","closed-owner-decision-required","/home/flexnetos/lifeos/src/envctl/crates/secrets-engine; /home/flexnetos/lifeos/src/envctl/crates/secrets-store-libsql; /home/flexnetos/lifeos/src/nu_plugin/docs/SECURITY_AND_SECRET_POLICY.md"
"TASKCONFLICT-010","LifeOS; FlexNetOS/envctl; FlexNetOS/nu_plugin","Live database proof versus generated completion claims","POSTGRES-009; POSTGRES-010; VER-304; CDB046-CDB047","Several generated surfaces report final verification or release completion.","The local PostgreSQL files exist but the server is stopped; nu_plugin's redb-versus-PostgreSQL parity test is live, ignored, and opt-in; no complete current whole-user-space migration has been queried or reconstructed.","Package and CI proof do not prove a running whole-user-space PostgreSQL authority.","RECOVERY-003; ADOPT-001; POSTGRES-009; POSTGRES-010","Retain implementation proof, but require a later bounded live database, parity, reconstruction, recovery, and cutover proof.","closed-until-full-graph","local pg_ctl status 2026-07-10T20:14Z; /home/flexnetos/lifeos/src/nu_plugin/crates/codedb_store_pg/tests/blobstore_parity.rs"
